date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:16	66024/66024	---M--	200	added ('OK')	font/woff	etag:%22101e8-58c7fd3574380%22	https://preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons.woff?v=4.0.0-19	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons580c.woff	(from https://preview.colorlib.com/theme/clark/css/ionicons.min.css)
12:26:17	313199/313199	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224c76f-58c7fd3480140%22	https://preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/ionicons/fonts/ionicons580c.svg	(from https://preview.colorlib.com/theme/clark/css/ionicons.min.css)
12:26:17	6590/6590	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2219be-58c7fd2079200-br%22	https://preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.eot	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/clark/css/flaticon.css)
12:26:17	6590/6590	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2219be-58c7fd2079200-br%22	https://preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.eot?	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/clark/css/flaticon.css)
12:26:18	4324/4324	---M--	200	added ('OK')	font/woff	etag:%2210e4-58c7fd2261680%22	https://preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.woff	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.woff	(from https://preview.colorlib.com/theme/clark/css/flaticon.css)
12:26:19	6412/6412	---MCZ	200	added ('OK')	font/ttf	etag:W/%22190c-58c7fd2261680%22	https://preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.ttf	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.ttf	(from https://preview.colorlib.com/theme/clark/css/flaticon.css)
12:26:21	37477/37477	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229265-58c7fd216d440%22	https://preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.svg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/flaticon/font/Flaticon.svg	(from https://preview.colorlib.com/theme/clark/css/flaticon.css)
12:26:25	307332/307332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b084-58c7fcfc3bc80-br%22	https://preview.colorlib.com/theme/clark/fonts/icomoon/icomoon.eot?6tt51o	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/icomoon/icomoonccfb.eot	(from https://preview.colorlib.com/theme/clark/css/icomoon.css)
12:26:26	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-58c7fcfd2fec0%22	https://preview.colorlib.com/theme/clark/fonts/icomoon/icomoon.ttf?6tt51o	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/icomoon/icomoonccfb.ttf	(from https://preview.colorlib.com/theme/clark/css/icomoon.css)
12:26:33	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-58c7fcff18340%22	https://preview.colorlib.com/theme/clark/fonts/icomoon/icomoon.svg?6tt51o	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/icomoon/icomoonccfb.svg	(from https://preview.colorlib.com/theme/clark/css/icomoon.css)
12:26:42	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-58c7fcfe24100%22	https://preview.colorlib.com/theme/clark/fonts/icomoon/icomoon.woff?6tt51o	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/fonts/icomoon/icomoonccfb.woff	(from https://preview.colorlib.com/theme/clark/css/icomoon.css)
12:27:38	5496227/5496227	---M--	200	added ('OK')	image/png	etag:%2253dda3-58c7fccf692c0%22	https://preview.colorlib.com/theme/clark/images/bg_2.png	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/bg_2.png	(from https://preview.colorlib.com/theme/clark/)
12:27:39	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202025%2009:27:39%20GMT	https://preview.colorlib.com/theme/clark/blog.html	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/blog.3c.delayed	(from https://preview.colorlib.com/theme/clark/single.html)
12:27:40	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202025%2009:27:40%20GMT	https://preview.colorlib.com/theme/clark/images/image_4.jpg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/image_4.jpg	(from https://preview.colorlib.com/theme/clark/single.html)
12:27:43	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%228cfa-58c7fcd151740%22	https://preview.colorlib.com/theme/clark/images/person_1.jpg	C:/Users/Casa%20Hana/Desktop/INTERNSHIP%20WORK/Kamba%20Resume/preview.colorlib.com/theme/clark/images/person_1.jpg	(from https://preview.colorlib.com/theme/clark/single.html)
